material,avg_m_no_oxygen,avg_r_no_oxygen,avg_r_diff,avg_m_w_oxygen,avg_r_w_oxygen,parent perovskite 1,parent perovskite 2,parent perovskite 3,parent perovskite 4,t_factor,a_site_electronegativity,b_site_electronegativity,electro_diff,T,family,sample_type,measurement_direction,Note,Direction,Substrate,measurement_type,d_star,k_star,ead,eak,First Author,Second Author,Year,DOI,HHI Production average - with oxygen,HHI Production average - without oxygen,HHI Reserve average - with oxygen,HHI Reserve average - without oxygen,Doping Group
LaMnO(3+x),48.4,103,,96.9,167,LaMn,,,,0.954334824,1.1,1.55,-0.45,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.50E-15,3.40E-09,2.5,1.49,Berenov,MacManus-Driscoll,1999,10.1016/S0167-2738(99)00077-6,-2520,-5550,1280,2450,
La(0.9)MnO(3+x),46.5,101.1,,94.7,166.1,LaMn,,,,0.954334824,1.1,1.55,-0.45,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.20E-15,3.50E-09,3.10E+00,1.69,Berenov,MacManus-Driscoll,1999,10.1016/S0167-2738(99)00077-6,-2340,-5342.105263,1228,2415.789474,
SmCoO3,51.5,100,,104.6,160,SmCo,,,,0.928737265,1.17,1.88,-0.71,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.00E-07,1.50E-05,2.01E+00,1.6,Fullarton,Jacobs,1995,10.1007/BF02426008,-2820,-6300,1460,2900,
Sm(0.8)Sr(0.2)CoO3,48.9,100.6,3,98.4,161.5,SmCo,SrCo,,,0.951091704,1.126,1.88,-0.754,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,6.40E-10,1.20E-06,2.10E+00,2.3,Fullarton,Jacobs,1995,10.1007/BF02426008,-2608,-5770,1456,2890,
Sm(0.6)Sr(0.4)CoO3,46.4,101.2,6,92.1,163,SmCo,SrCo,,,0.973446143,1.082,1.88,-0.798,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,6.90E-08,9.80E-06,1.50E+00,0.89,Fullarton,Jacobs,1995,10.1007/BF02426008,-2396,-5240,1452,2880,
Sm(0.5)Sr(0.5)CoO3,45.2,101.5,7.5,89,163.8,SmCo,SrCo,,,0.984623363,1.06,1.88,-0.82,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.90E-07,1.90E-05,1.20E+00,0.88,Fullarton,Jacobs,1995,10.1007/BF02426008,-2290,-4975,1450,2875,
Sm(0.4)Sr(0.6)CoO3,43.9,101.8,6,85.8,164.5,SmCo,SrCo,,,0.995800582,1.038,1.88,-0.842,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,4.00E-13,4.90E-08,1.10E+00,0.61,Fullarton,Jacobs,1995,10.1007/BF02426008,-2184,-4710,1448,2870,
La(0.8)Sr(0.2)MnO(3+x),46.3,103.2,1,91.8,168,LaMn,SrMn,,,0.971569752,1.07,1.55,-0.48,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.00E-14,,3.07E+00,,Yasuda,Ogasawara,1996,10.1016/0167-2738(96)00287-1,-2308,-5020,1276,2440,
La(0.95)Sr(0.05)MnO(3+x),47.9,103.1,0.25,95.6,167.6,LaMn,SrMn,,,0.958643556,1.0925,1.55,-0.4575,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.00E-15,,2.75E+00,,Yasuda,Ogasawara,1996,10.1016/0167-2738(96)00287-1,-2467,-5417.5,1279,2447.5,
La(0.9)Sr(0.1)MnO(3+x),47.3,103.1,0.5,94.4,167.8,LaMn,SrMn,,,0.962952288,1.085,1.55,-0.465,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.00E-15,,2.88E+00,,Yasuda,Ogasawara,1996,10.1016/0167-2738(96)00287-1,-2414,-5285,1278,2445,
